task_id,task_range,inner_id,wid,intent,triage,answer_quality,is_reworked,rework_reason,lead_time_sec,lead_time_min,has_fallback,fallback_value,used_docs_count,used_noise_count,unused_should_use_count,unused_not_needed_count,has_doc_comment,has_answer_comment,completed_by,annotation_created_at,annotation_updated_at,query
164209,164209-165076,1,lineageclassic,"게임 외 질문(일상/메타성, 의미 없는 발화 등)",,,False,,55.381,0.92,True,14,0,0,0,0,False,False,60,2026-03-25T04:59:32.224121Z,2026-03-25T04:59:32.224130Z,좀 잘해라\
164210,164209-165076,2,aion2,RAG or 초동수사,no,Good,True,triage|answer_quality,371.044,6.18,False,,3,0,1,6,False,False,60,2026-03-25T04:45:04.433639Z,2026-03-25T04:45:04.433649Z,악몽
164211,164209-165076,3,aion2,RAG or 초동수사,no,Bad,True,triage|answer_quality|doc_comment|answer_comment,1155.1200000000001,19.25,True,99,0,0,0,10,True,True,60,2026-03-25T05:42:09.622507Z,2026-03-30T00:44:07.660425Z,아이온2 pc등록 삭제
164212,164209-165076,4,lineageclassic,RAG or 초동수사,no,Good,True,triage|answer_quality,974.7810000000001,16.25,True,98,3,0,0,7,False,False,60,2026-03-25T05:20:31.887914Z,2026-03-27T05:18:44.568422Z,리니지 클래식 30알 이용권 환불방법
164213,164209-165076,5,aion2,RAG or 초동수사,no,Good,True,triage|answer_quality,168.648,2.81,False,,1,0,0,9,False,False,60,2026-03-25T07:33:38.429606Z,2026-03-25T07:33:38.429615Z,채집 못하게 허면 어쪄라는겨유
164214,164209-165076,6,aion2,RAG or 초동수사,yes,Good,True,triage|answer_quality,194.063,3.23,True,96,0,0,0,10,False,False,60,2026-03-25T05:04:41.575576Z,2026-03-25T07:30:38.083471Z,문의를 했는데 언제 처리되냐고요
164215,164209-165076,7,lineageclassic,"멀티턴 / 문맥 부족 (게임, 고객 서비스 관련)",,,False,,140.24200000000002,2.34,True,14,0,0,0,0,False,False,60,2026-03-25T05:01:18.436527Z,2026-03-26T08:12:08.914307Z,죄송하다고 말할게 아니라
164216,164209-165076,8,lineageclassic,외국어,,,False,,7.285,0.12,True,16,0,0,0,0,False,False,60,2026-03-25T05:01:37.053776Z,2026-03-25T05:01:37.053805Z,can you speak Chinese
164217,164209-165076,9,aion2,RAG or 초동수사,no,Good,True,triage|answer_quality|answer_comment,140.061,2.33,False,,0,1,0,9,False,True,60,2026-03-25T07:44:46.274140Z,2026-03-26T07:00:13.909661Z,커스터마이징 무기 크기
164218,164209-165076,10,aion2,RAG or 초동수사,no,Bad,True,triage|answer_quality|answer_comment,3179.18,52.99,False,,0,0,0,10,False,True,60,2026-03-25T07:51:09.741830Z,2026-03-31T08:13:54.004385Z,정보입력횟수초과
164219,164209-165076,11,lineageclassic,RAG or 초동수사,no,Bad,True,triage|answer_quality|doc_comment,1204.219,20.07,False,,0,0,0,2,True,False,60,2026-03-25T08:03:49.674775Z,2026-03-26T08:28:00.435345Z,이벤트 코인 등록 방법
164220,164209-165076,12,lineageclassic,RAG or 초동수사,no,Bad,True,triage|answer_quality|answer_comment,741.902,12.37,False,,0,1,0,9,False,True,60,2026-03-25T08:17:16.343132Z,2026-03-30T00:49:20.755812Z,pc방 대기열
164221,164209-165076,13,lineageclassic,RAG or 초동수사,yes,Good,True,triage|answer_quality,20.672,0.34,True,96,0,0,0,10,False,False,60,2026-03-25T07:53:21.282507Z,2026-03-25T07:53:21.282514Z,문의한거 보기
164222,164209-165076,14,lineageclassic,RAG or 초동수사,yes,Good,True,triage|answer_quality,43.073,0.72,True,99,0,0,0,10,False,False,60,2026-03-25T08:10:41.606221Z,2026-03-25T08:10:41.606229Z,게임 캐릭을 생성을 못한 상태에서 환불 받고 싶습니다
164223,164209-165076,15,lineagew,RAG or 초동수사,no,Bad,True,triage|answer_quality|doc_comment|answer_comment,1908.877,31.81,False,,0,0,0,10,True,True,60,2026-03-26T05:33:01.386128Z,2026-03-27T06:55:56.108224Z,포느스 보스
164224,164209-165076,16,lineage2m,RAG or 초동수사,no,Good,True,triage|answer_quality,74.622,1.24,True,98,1,0,0,9,False,False,60,2026-03-26T05:34:18.774431Z,2026-03-26T05:34:18.774439Z,결제 한도 상향
164225,164209-165076,17,lineageclassic,RAG or 초동수사,yes,Good,True,triage|answer_quality,51.335,0.86,True,99,0,8,0,2,False,False,60,2026-03-25T08:08:57.372768Z,2026-03-25T08:08:57.372778Z,정지 조회
164226,164209-165076,18,aion2,RAG or 초동수사,yes,Good,True,triage|answer_quality,17.655,0.29,True,96,0,0,0,10,False,False,60,2026-03-25T08:09:28.137362Z,2026-03-25T08:09:28.137370Z,예전에 올린건 언제 접수되나요
164227,164209-165076,19,aion2,RAG or 초동수사,yes,Fair,True,triage|answer_quality|doc_comment|answer_comment,5788.991999999999,96.48,True,98,2,0,0,8,True,True,60,2026-03-26T05:38:48.376551Z,2026-03-31T09:39:33.955225Z,거래소 새로고침 눌렀더니 과도한 요청이라고 거래소가 잠겼습니다 풀어주세요~
164228,164209-165076,20,aion2,RAG or 초동수사,yes,Good,True,triage|answer_quality,320.544,5.34,True,98,1,0,2,6,False,False,60,2026-03-26T05:44:31.015209Z,2026-03-26T05:44:31.015218Z,금일 임시점검보상이 안들어왓어요. 확인해주셍노
164229,164209-165076,21,lineageclassic,RAG or 초동수사,no,Good,True,triage|answer_quality,435.909,7.27,True,98,2,0,0,8,False,False,60,2026-03-26T05:52:04.154685Z,2026-03-26T05:52:04.154719Z,90일 이용권 구매후 정기 구독을 하였습니다 중복 결제가 됬는데 어떻게하면 되나요??
164230,164209-165076,22,lineage2m,RAG or 초동수사,no,Bad,True,triage|answer_quality|doc_comment,650.203,10.84,True,96,0,0,0,10,True,False,60,2026-03-26T06:02:56.027655Z,2026-03-26T06:02:56.027666Z,핸드폰으로는 대표케릭설정안되나요?
164231,164209-165076,23,lineageclassic,RAG or 초동수사,yes,Good,True,triage|answer_quality,109.86500000000001,1.83,True,98,4,0,0,6,False,False,60,2026-03-26T06:08:55.428560Z,2026-03-26T06:08:55.428572Z,90일 결제구독을 신청했는데 구독이 빠져있습니다
164232,164209-165076,24,aion2,RAG or 초동수사,yes,Bad,True,triage|answer_quality|doc_comment|answer_comment,6008.698,100.14,False,,0,2,0,8,True,True,60,2026-03-26T06:41:54.238447Z,2026-03-30T06:52:34.285717Z,제작관리 대장에서 표시할 도안이 없습니다라고 뜨는데 어떻게 해야되나요? 레벨을 올리수있는 주괴도안도 안뜹니다
164233,164209-165076,25,aion2,RAG or 초동수사,yes,Fair,True,triage|answer_quality|answer_comment,748.748,12.48,True,98,1,0,9,0,False,True,60,2026-03-26T06:53:48.160387Z,2026-03-30T00:51:08.670009Z,운영정책에 따라 일시적으로 이용제한떳어요
164234,164209-165076,26,lineagew,RAG or 초동수사,no,Bad,True,triage|answer_quality|doc_comment|answer_comment,1271.9389999999999,21.2,True,99,0,0,0,10,True,True,60,2026-03-26T07:05:12.966993Z,2026-03-30T07:51:57.526978Z,자녀계정
164235,164209-165076,27,aion2,외국어,,,False,,133.481,2.22,True,16,0,0,0,0,False,False,60,2026-03-25T07:56:25.982419Z,2026-03-25T07:56:25.982427Z,rPwjdwjdwlansdml
164236,164209-165076,28,lineageclassic,"멀티턴 / 문맥 부족 (게임, 고객 서비스 관련)",,,False,,51.901,0.87,True,99,0,0,0,0,False,False,60,2026-03-25T07:57:27.733765Z,2026-03-25T07:57:27.733774Z,접속조차 안했다고
164237,164209-165076,29,lineageclassic,RAG or 초동수사,no,Bad,True,triage|answer_quality|doc_comment|answer_comment,2287.11,38.12,False,,0,2,0,8,True,True,60,2026-03-26T07:14:06.883751Z,2026-03-27T06:19:09.871716Z,퍼플톡어딧어?
164238,164209-165076,30,lineageclassic,"멀티턴 / 문맥 부족 (게임, 고객 서비스 관련)",,,False,,93.757,1.56,False,,0,2,0,8,False,False,60,2026-03-26T07:15:42.353877Z,2026-03-26T07:15:42.353885Z,마이핀 번호 발급 받은 후
